population,indicator,human development index,civil liberties score,government effectiveness,world happiness report score,Coll,Col2
Sub-Saharan Africa,Malawi,477,3,-0.67,3.416.862.965,"rgba(181,158,153","(136, 119, 115)"
Sub-Saharan Africa,Zimbabwe,535,5,-1.19,363.830.018,"rgba(181,158,153","(181, 158, 153)"
Sub-Saharan Africa,Zambia,588,4,-0.62,3.932.777.405,"rgba(181,158,153","(196, 177, 173)"
Sub-Saharan Africa,Uganda,516,4,-0.58,4.000.516.891,"rgba(181,158,153","(211, 197, 194)"
Sub-Saharan Africa,Madagascar,519,4,-1.14,4.078.620.434,"rgba(181,158,153","(94, 88, 87)"
Sub-Saharan Africa,Sierra Leone,419,3,-1.21,4.089.562.416,"rgba(181,158,153","(134, 130, 129)"
Sub-Saharan Africa,Ethiopia,463,6,-0.7,4.180.315.495,"rgba(181,158,153","(174, 172, 171)"
Sub-Saharan Africa,Mozambique,437,4,-0.89,4.279.863.358,"rgba(181,158,153","(97, 61, 53)"
Sub-Saharan Africa,Congo (Dem. Rep.),457,6,-1.63,4.311.033.249,"rgba(181,158,153","(145, 91, 79)"
Sub-Saharan Africa,Togo,503,4,-1.13,4.360.805.035,"rgba(181,158,153","(97, 79, 62)"
Sub-Saharan Africa,Kenya,0.59,4,-0.31,4.475.654.125,"rgba(181,158,153","(145, 118, 94)"
Sub-Saharan Africa,South Africa,699,2,0.28,4.513.655.186,"rgba(181,158,153","(193, 157, 125)"
Sub-Saharan Africa,Chad,404,6,-1.46,4.558.937.073,"rgba(181,158,153","(206, 177, 151)"
Sub-Saharan Africa,Niger,354,4,-0.67,4.615.673.542,"rgba(181,158,153","(218, 196, 177)"
Sub-Saharan Africa,Burkina Faso,423,3,-0.59,4.646.891.117,"rgba(181,158,153","(78, 66, 58)"
Sub-Saharan Africa,Senegal,505,2,-0.32,4.683.024.883,"rgba(181,158,153","(104, 88, 78)"
Sub-Saharan Africa,Mali,427,4,-0.94,4.741.850.376,"rgba(181,158,153","(165, 155, 149)"
Sub-Saharan Africa,Benin,515,2,-0.64,4.853.180.885,"rgba(181,158,153","(97, 62, 72)"
Sub-Saharan Africa,Guinea,459,5,-1.04,4.873.722.553,"rgba(181,158,153","(145, 94, 108)"
Sub-Saharan Africa,Cote d'Ivoire,794,4,-0.74,5.037.734.985,"rgba(181,158,153","(193, 125, 144)"
Sub-Saharan Africa,Cameroon,556,6,-0.82,507.405.138,"rgba(181,158,153","(78, 58, 60)"
Sub-Saharan Africa,Nigeria,532,5,-0.96,5.321.928.024,"rgba(181,158,153","(104, 78, 80)"
Sub-Saharan Africa,Ghana,592,2,-0.11,5.481.310.844,"rgba(181,158,153","(135, 113, 115)"
Western Europe,Greece,0.87,2,0.31,514.824.152,"rgba(139,162,255","(70, 81, 128)"
Western Europe,Portugal,847,1,1.33,5.711.499.214,"rgba(139,162,255","(104, 122, 191)"
Western Europe,Italy,0.88,1,0.5,6.198.870.182,"rgba(139,162,255","(139, 162, 255)"
Western Europe,Spain,891,1,1.03,6.230.173.111,"rgba(139,162,255","(185, 199, 255)"
Western Europe,France,901,2,1.35,6.635.222.435,"rgba(139,162,255","(101, 107, 128)"
Western Europe,Belgium,916,1,1.18,6.928.347.588,"rgba(139,162,255","(152, 160, 191)"
Western Europe,Germany,936,1,1.72,7.074.324.608,"rgba(139,162,255","(203, 213, 255)"
Western Europe,United Kingdom,922,1,1.41,7.103.273.392,"rgba(139,162,255","(19, 40, 128)"
Western Europe,Sweden,933,1,1.84,7.286.804.676,"rgba(139,162,255","(28, 60, 191)"
Western Europe,Austria,908,1,1.46,7.293.727.875,"rgba(139,162,255","(37, 80, 255)"
Western Europe,Netherlands,931,1,1.85,7.458.965.302,"rgba(139,162,255","(81, 115, 255)"
Western Europe,Switzerland,944,1,2.06,7.473.593.235,"rgba(139,162,255","(124, 150, 255)"
Western Europe,Norway,953,1,1.98,7.578.744.888,"rgba(139,162,255","(168, 185, 155)"
Western Europe,Denmark,929,1,1.8,7.593.702.316,"rgba(139,162,255","(76, 99, 191)"
Western Europe,Finland,0.92,1,1.94,7.788.251.877,"rgba(139,162,255","(101, 131, 255)"
,,,,,,,
,,,,,,,
,,,,,,,
, ,,,,,,
